Domain,Type,Name,Address,Target,Port,String
googlevideo.com,SOA,ns1.google.com,216.239.32.10,,,
googlevideo.com,SOA,ns1.google.com,2001:4860:4802:32::a,,,
googlevideo.com,NS,ns4.google.com,216.239.38.10,,,
googlevideo.com,NS,ns4.google.com,2001:4860:4802:38::a,,,
googlevideo.com,NS,ns1.google.com,216.239.32.10,,,
googlevideo.com,NS,ns1.google.com,2001:4860:4802:32::a,,,
googlevideo.com,NS,ns2.google.com,216.239.34.10,,,
googlevideo.com,NS,ns2.google.com,2001:4860:4802:34::a,,,
googlevideo.com,NS,ns3.google.com,216.239.36.10,,,
googlevideo.com,NS,ns3.google.com,2001:4860:4802:36::a,,,
googlevideo.com,A,googlevideo.com,142.250.192.100,,,
googlevideo.com,AAAA,googlevideo.com,2404:6800:4002:82b::2004,,,
googlevideo.com,TXT,googlevideo.com,,,,'v=spf1 ?all'
googlevideo.com,TXT,_dmarc.googlevideo.com,,,,'v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com'
