Domain,Type,Name,Address,Target,Port,String
microsoft.com,SOA,ns1-39.azure-dns.com,150.171.10.39,,,
microsoft.com,SOA,ns1-39.azure-dns.com,2603:1061:0:10::27,,,
microsoft.com,NS,ns3-39.azure-dns.org,13.107.222.39,,,
microsoft.com,NS,ns3-39.azure-dns.org,2a01:111:4000:10::27,,,
microsoft.com,NS,ns4-39.azure-dns.info,13.107.206.39,,,
microsoft.com,NS,ns4-39.azure-dns.info,2620:1ec:bda:10::27,,,
microsoft.com,NS,ns2-39.azure-dns.net,150.171.16.39,,,
microsoft.com,NS,ns2-39.azure-dns.net,2620:1ec:8ec:10::27,,,
microsoft.com,NS,ns1-39.azure-dns.com,150.171.10.39,,,
microsoft.com,NS,ns1-39.azure-dns.com,2603:1061:0:10::27,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,52.101.11.13,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,52.101.9.26,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,52.101.41.180,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,52.101.42.14,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,2a01:111:f403:c902::6,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,2a01:111:f403:c902::3,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,2a01:111:f403:c803::,,,
microsoft.com,MX,microsoft-com.mail.protection.outlook.com,2a01:111:f403:f805::1,,,
microsoft.com,A,microsoft.com,13.107.246.59,,,
microsoft.com,AAAA,microsoft.com,2603:1030:20e:3::23c,,,
microsoft.com,AAAA,microsoft.com,2603:1010:3:3::5b,,,
microsoft.com,AAAA,microsoft.com,2603:1020:201:10::10f,,,
microsoft.com,AAAA,microsoft.com,2603:1030:c02:8::14,,,
microsoft.com,AAAA,microsoft.com,2603:1030:b:3::152,,,
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=3uc1cf82cpv750lzk70v9bvf2'
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=QDa792dLCZhvaAOOCe2Hz6WTzmTssOp1snABhxWibhMx'
microsoft.com,TXT,microsoft.com,,,,'fg2t0gov9424p2tdcuo94goe9j'
microsoft.com,TXT,microsoft.com,,,,'facebook-domain-verification=fwzwhbbzwmg5fzgotc2go51olc3566'
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=ZGFU0tlXPekPusNHPo5QQQWpVf0gic0xpuKroNy3NQEx'
microsoft.com,TXT,microsoft.com,,,,'t7sebee51jrj7vm932k531hipa'
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=6358r1b7e13hox60tl1uagv14'
microsoft.com,TXT,microsoft.com,,,,'ms-domain-verification=25524f4b-1476-489c-a086-30f4c5016ecc'
microsoft.com,TXT,microsoft.com,,,,'google-site-verification=pjPOauSPcrfXOZS9jnPPa5axowcHGCDAl1_86dCqFpk'
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=wbU64GRacxVEQxwcLSQnx0zisXLYzgUbfvsufIqO9ZUx'
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=j2qHWq9BHdaa3ZXZH8x64daJZxEWsFa0dxDeilxDoYYx'
microsoft.com,TXT,microsoft.com,,,,'google-site-verification=M--CVfn_YwsV-2FGbCp_HFaEj23BmT0cTF4l8hXgpvM'
microsoft.com,TXT,microsoft.com,,,,'linear-domain-verification=iuq6saifcnbe'
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=PNcDqkW71x8VOUhcE96aGM4l5PYX1gnlRl6ieXUl5eMx'
microsoft.com,TXT,microsoft.com,,,,'google-site-verification=uhh5_jbxpcQgnb-A7gDIjlrr5Ef34lA2t2_BAveYpnk'
microsoft.com,TXT,microsoft.com,,,,'d365mktkey=3l6dste9txazu0Qd2zu4135PUB4E35txLxyzJxjkPbsx'
microsoft.com,TXT,microsoft.com,,,,'google-site-verification=mEAmcTy1e8jIB9W6ENPk2GDg9hjuNytQQRGlK0hPm0c'
