Domain,Type,Name,Address,Target,Port,String
root-servers.net,SOA,a.root-servers.net,198.41.0.4,,,
root-servers.net,SOA,a.root-servers.net,2001:503:ba3e::2:30,,,
root-servers.net,NS,b.root-servers.net,170.247.170.2,,,
root-servers.net,NS,b.root-servers.net,2801:1b8:10::b,,,
root-servers.net,NS,h.root-servers.net,198.97.190.53,,,
root-servers.net,NS,h.root-servers.net,2001:500:1::53,,,
root-servers.net,NS,a.root-servers.net,198.41.0.4,,,
root-servers.net,NS,a.root-servers.net,2001:503:ba3e::2:30,,,
root-servers.net,NS,d.root-servers.net,199.7.91.13,,,
root-servers.net,NS,d.root-servers.net,2001:500:2d::d,,,
root-servers.net,NS,e.root-servers.net,192.203.230.10,,,
root-servers.net,NS,e.root-servers.net,2001:500:a8::e,,,
root-servers.net,NS,k.root-servers.net,193.0.14.129,,,
root-servers.net,NS,k.root-servers.net,2001:7fd::1,,,
root-servers.net,NS,f.root-servers.net,192.5.5.241,,,
root-servers.net,NS,f.root-servers.net,2001:500:2f::f,,,
root-servers.net,NS,i.root-servers.net,192.36.148.17,,,
root-servers.net,NS,i.root-servers.net,2001:7fe::53,,,
root-servers.net,NS,c.root-servers.net,192.33.4.12,,,
root-servers.net,NS,c.root-servers.net,2001:500:2::c,,,
root-servers.net,NS,j.root-servers.net,192.58.128.30,,,
root-servers.net,NS,j.root-servers.net,2001:503:c27::2:30,,,
root-servers.net,NS,l.root-servers.net,199.7.83.42,,,
root-servers.net,NS,l.root-servers.net,2001:500:9f::42,,,
root-servers.net,NS,g.root-servers.net,192.112.36.4,,,
root-servers.net,NS,g.root-servers.net,2001:500:12::d0d,,,
root-servers.net,NS,m.root-servers.net,202.12.27.33,,,
root-servers.net,NS,m.root-servers.net,2001:dc3::35,,,
