Domain,Type,Name,Address,Target,Port,String
whatsapp.net,SOA,a.ns.whatsapp.net,129.134.30.12,,,
whatsapp.net,SOA,a.ns.whatsapp.net,2a03:2880:f0fc:c:face:b00c:0:35,,,
whatsapp.net,NS,c.ns.whatsapp.net,185.89.218.12,,,
whatsapp.net,NS,c.ns.whatsapp.net,2a03:2880:f1fc:c:face:b00c:0:35,,,
whatsapp.net,NS,a.ns.whatsapp.net,129.134.30.12,,,
whatsapp.net,NS,a.ns.whatsapp.net,2a03:2880:f0fc:c:face:b00c:0:35,,,
whatsapp.net,NS,d.ns.whatsapp.net,185.89.219.12,,,
whatsapp.net,NS,d.ns.whatsapp.net,2a03:2880:f1fd:c:face:b00c:0:35,,,
whatsapp.net,NS,b.ns.whatsapp.net,129.134.31.12,,,
whatsapp.net,NS,b.ns.whatsapp.net,2a03:2880:f0fd:c:face:b00c:0:35,,,
whatsapp.net,A,whatsapp.net,57.144.177.32,,,
whatsapp.net,AAAA,whatsapp.net,2a03:2880:f358:120:face:b00c:0:167,,,
whatsapp.net,TXT,whatsapp.net,,,,'google-site-verification=K67eUkrXbL-MM2pcYlUhcne9l4-oGJCzJHRwFpTv5fE'
whatsapp.net,TXT,whatsapp.net,,,,'v=spf1 -all'
