Domain,Type,Name,Address,Target,Port,String
youtube.com,SOA,ns1.google.com,216.239.32.10,,,
youtube.com,SOA,ns1.google.com,2001:4860:4802:32::a,,,
youtube.com,NS,ns1.google.com,216.239.32.10,,,
youtube.com,NS,ns1.google.com,2001:4860:4802:32::a,,,
youtube.com,NS,ns2.google.com,216.239.34.10,,,
youtube.com,NS,ns2.google.com,2001:4860:4802:34::a,,,
youtube.com,NS,ns3.google.com,216.239.36.10,,,
youtube.com,NS,ns3.google.com,2001:4860:4802:36::a,,,
youtube.com,NS,ns4.google.com,216.239.38.10,,,
youtube.com,NS,ns4.google.com,2001:4860:4802:38::a,,,
youtube.com,MX,smtp.google.com,74.125.130.26,,,
youtube.com,MX,smtp.google.com,172.253.118.26,,,
youtube.com,MX,smtp.google.com,74.125.200.27,,,
youtube.com,MX,smtp.google.com,74.125.130.27,,,
youtube.com,MX,smtp.google.com,74.125.200.26,,,
youtube.com,MX,smtp.google.com,2404:6800:4003:c00::1b,,,
youtube.com,MX,smtp.google.com,2404:6800:4003:c00::1a,,,
youtube.com,MX,smtp.google.com,2404:6800:4003:c05::1b,,,
youtube.com,MX,smtp.google.com,2404:6800:4003:c01::1a,,,
youtube.com,A,youtube.com,142.251.42.78,,,
youtube.com,AAAA,youtube.com,2404:6800:4009:81e::200e,,,
youtube.com,TXT,youtube.com,,,,'google-site-verification=QtQWEwHWM8tHiJ4s-jJWzEQrD_fF3luPnpzNDH-Nw-w'
youtube.com,TXT,youtube.com,,,,'facebook-domain-verification=64jdes7le4h7e7lfpi22rijygx58j1'
youtube.com,TXT,youtube.com,,,,'v=spf1 include:google.com mx -all'
youtube.com,TXT,_dmarc.youtube.com,,,,'v=DMARC1; p=reject; rua=mailto:mailauth-reports@google.com'
