Domain,Total Packets,Total Bytes,Total DNS Packets,Total DNS Bytes,Total Time,Total DNS Time,TTFB
'domain.',4,264,4,264,0.0781857967376709,0.0781857967376709,9.989738464355469e-05
'2mdn.net.',4,272,4,272,0.4595179557800293,0.4595179557800293,9.012222290039062e-05
'3gppnetwork.org.',4,300,4,300,0.11552214622497559,0.11552214622497559,0.0001220703125
'3lift.com.',13,1823,4,524,0.11950492858886719,0.04582095146179199,8.20159912109375e-05
'a-msedge.net.',6,396,4,288,0.05035400390625,0.05025196075439453,8.392333984375e-05
'a2z.com.',4,268,4,268,0.04580807685852051,0.04580807685852051,8.797645568847656e-05
'aaplimg.com.',4,284,4,284,0.10219597816467285,0.10219597816467285,8.893013000488281e-05
'adform.net.',13,1722,4,664,0.6434729099273682,0.34397006034851074,8.606910705566406e-05
'adnxs.com.',6,384,4,276,0.31569910049438477,0.3130369186401367,8.487701416015625e-05
'adobe.com.',31,7049,8,948,0.394150972366333,0.12137603759765625,8.893013000488281e-05
'www.adobe.com.',30,6846,4,1120,10.971381902694702,0.3854532241821289,5.0067901611328125e-05
'adobe.io.',17,1385,4,512,10.107184886932373,0.008729696273803711,0.00010585784912109375
'adsafeprotected.com.',18,2945,4,792,0.7558751106262207,0.31142592430114746,8.106231689453125e-05
'adsrvr.org.',90,299746,4,664,2.9288392066955566,0.09679198265075684,7.319450378417969e-05
'www.thetradedesk.com.',56,141505,4,779,0.4056239128112793,0.06333780288696289,4.601478576660156e-05
'thetradedesk.com.',26,7662,4,768,1.1263060569763184,0.010754108428955078,0.00011801719665527344
'akadns.net.',6,388,4,280,0.07607007026672363,0.045857906341552734,9.393692016601562e-05
'akamai.net.',6,388,4,280,0.12578082084655762,0.03465580940246582,8.487701416015625e-05
'akamaiedge.net.',4,296,4,296,0.3934769630432129,0.3934769630432129,8.0108642578125e-05
'akamaihd.net.',4,288,4,288,0.04428887367248535,0.04428887367248535,8.988380432128906e-05
'akamaized.net.',4,292,4,292,0.04273414611816406,0.04273414611816406,9.012222290039062e-05
'alicdn.com.',11,935,4,408,10.121695041656494,0.10423517227172852,9.417533874511719e-05
'aliyuncs.com.',15,1890,4,356,1.0505831241607666,0.21995306015014648,0.00010514259338378906
'allawnos.com.',6,396,4,288,0.3146381378173828,0.312391996383667,0.00013399124145507812
'amazon-adsystem.com.',11,1098,4,562,10.098519086837769,0.04023599624633789,7.510185241699219e-05
'amazon.com.',33,9676,8,944,1.4533028602600098,0.05410408973693848,8.797645568847656e-05
'www.amazon.com.',30,11447,4,807,1.1289730072021484,0.18157696723937988,3.695487976074219e-05
'amazon.dev.',8,496,4,280,0.20033001899719238,0.1875460147857666,0.00011110305786132812
'amazonalexa.com.',4,300,4,300,0.10562014579772949,0.10562014579772949,9.298324584960938e-05
'amazonaws.com.',11,1466,4,502,0.8061728477478027,0.29878687858581543,8.988380432128906e-05
'aws.amazon.com.',343,1067543,12,2946,4.285852909088135,0.7065439224243164,4.100799560546875e-05
'a0.awsstatic.com.',1664,19291248,4,732,16.635610103607178,0.008938074111938477,7.200241088867188e-05
'd2c.aws.amazon.com.',29,23551,4,926,1.0426452159881592,0.022559165954589844,4.315376281738281e-05
'prod.pa.cdn.uis.awsstatic.com.',35,30714,4,872,0.23093008995056152,0.01485896110534668,4.410743713378906e-05
'd1.awsstatic.com.',383,804756,4,732,2.8364500999450684,0.009716987609863281,0.00015211105346679688
'img.youtube.com.',55,80949,6,2231,0.18505406379699707,0.03463339805603027,7.510185241699219e-05
'loader.us-east-1.prod.mrc-sunrise.marketing.aws.dev.',26,17261,4,1028,0.13357090950012207,0.01200103759765625,4.38690185546875e-05
'ampproject.org.',35,15953,8,820,0.4602789878845215,0.16062593460083008,0.0007410049438476562
'www.ampproject.org.',25,8072,4,392,0.16958999633789062,0.06450581550598145,6.890296936035156e-05
'amp.dev.',86,186436,4,326,1.434023141860962,0.008707046508789062,4.601478576660156e-05
'cdn.ampproject.org.',344,1347732,4,578,4.645089149475098,0.12332701683044434,4.315376281738281e-05
'android.com.',13,1559,4,389,0.8354308605194092,0.2753448486328125,9.179115295410156e-05
'www.android.com.',107,128044,4,515,1.4968488216400146,0.017290830612182617,6.389617919921875e-05
'www.googletagmanager.com.',29,8765,4,480,0.2888190746307373,0.015480995178222656,4.291534423828125e-05
'www.gstatic.com.',46,64425,4,417,0.42910289764404297,0.00803685188293457,8.702278137207031e-05
'lh3.googleusercontent.com.',80,156925,4,670,0.5547549724578857,0.013935089111328125,4.506111145019531e-05
'kstatic.googleusercontent.com.',580,7497297,4,458,0.878032922744751,0.012206077575683594,6.29425048828125e-05
'app-analytics-services.com.',15,2969,4,494,0.2672889232635498,0.11832594871520996,6.103515625e-05
'app-measurement.com.',15,2995,4,445,0.6084067821502686,0.12618279457092285,9.489059448242188e-05
'appcenter.ms.',573,4016795,4,356,9.6010160446167,0.01635885238647461,3.0040740966796875e-05
'assets.onestore.ms.',145,413776,4,924,0.6757609844207764,0.06267404556274414,4.315376281738281e-05
'c.s-microsoft.com.',147,634703,4,890,1.967257022857666,0.16001486778259277,6.794929504394531e-05
'www.microsoft.com.',93,30425,16,3468,42.17654299736023,0.6230001449584961,4.1961669921875e-05
'apple-dns.net.',4,292,4,292,0.06617498397827148,0.06617498397827148,0.00010085105895996094
'apple.com.',13,1659,4,375,0.045022010803222656,0.008894920349121094,0.00012302398681640625
'www.apple.com.',1885,18492866,4,944,28.07182502746582,0.302030086517334,4.9114227294921875e-05
'applovin.com.',35,7894,8,848,1.2028698921203613,0.06864404678344727,6.4849853515625e-05
'www.applovin.com.',285,4109182,4,602,2.406559944152832,0.014684915542602539,7.081031799316406e-05
'cdn.fonts.net.',20,6221,4,514,0.07474994659423828,0.00787496566772461,5.698204040527344e-05
'cdnjs.cloudflare.com.',46,96661,4,584,0.09399700164794922,0.00793313980102539,3.814697265625e-05
'ajax.googleapis.com.',70,215136,4,445,0.22658991813659668,0.00954890251159668,7.700920104980469e-05
'fonts.googleapis.com.',24,10822,4,452,0.28388309478759766,0.00921320915222168,0.00011706352233886719
'appsflyer.com.',13,1383,4,432,0.4805631637573242,0.015109062194824219,5.91278076171875e-05
'www.appsflyer.com.',78,196164,4,620,0.41777610778808594,0.04201698303222656,4.8160552978515625e-05
'cdn.cookielaw.org.',29,28409,4,554,0.22564697265625,0.010825872421264648,3.814697265625e-05
'appsflyersdk.com.',8,520,4,304,0.24714398384094238,0.21833515167236328,7.319450378417969e-05
'atomile.com.',4,284,4,284,1.0955889225006104,1.0955889225006104,8.20159912109375e-05
'avast.com.',11,1521,4,412,2.157589912414551,0.03692197799682617,0.00011610984802246094
'www.avast.com.',54,137415,8,1464,0.9207229614257812,0.2689509391784668,4.601478576660156e-05
'static3.avast.com.',414,857254,4,626,22.13571000099182,0.017440080642700195,3.910064697265625e-05
'assets.adobedtm.com.',44,88211,4,796,0.770805835723877,0.2795908451080322,4.696846008300781e-05
