Subdomain,IP
www.alumni.iitgn.ac.in,52.74.41.140
lists.safety.iitgn.ac.in,72.1.241.142
admissions.iitgn.ac.in,14.139.98.73
academics.iitgn.ac.in,192.185.129.4
testserver.iitgn.ac.in,72.1.241.142
socket.iitgn.ac.in,14.139.98.239
www.manua.people.iitgn.ac.in,204.15.132.106
mail.support.people.iitgn.ac.in,204.15.132.106
cpanel.naran.people.iitgn.ac.in,204.15.132.106
streaming.iitgn.ac.in,14.139.98.238
vijay.people.iitgn.ac.in,204.15.132.106
demo.people.iitgn.ac.in,204.15.132.106
kabeer.people.iitgn.ac.in,204.15.132.106
mtech2011.iitgn.ac.in,72.1.241.142
ee.iitgn.ac.in,192.185.129.4
instavc.iitgn.ac.in,14.139.98.240
cpcalendars.sjolad.people.iitgn.ac.in,204.15.132.106
cpcontacts.cst.people.iitgn.ac.in,204.15.132.106
cpcontacts.sairam.people.iitgn.ac.in,204.15.132.106
cpcontacts.joycee.people.iitgn.ac.in,204.15.132.106
cpcalendars.sudhir.people.iitgn.ac.in,204.15.132.106
cpcontacts.nitin.people.iitgn.ac.in,204.15.132.106
cpcalendars.vijay.people.iitgn.ac.in,204.15.132.106
cpcalendars.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106
webdisk.babji.people.iitgn.ac.in,204.15.132.106
cpcontacts.pedropombo.people.iitgn.ac.in,204.15.132.106
cpcalendars.appayee.people.iitgn.ac.in,204.15.132.106
webdisk.cst.people.iitgn.ac.in,204.15.132.106
payment.iitgn.ac.in,14.139.98.73
chemistry.iitgn.ac.in,192.185.129.4
chandanmishra.people.iitgn.ac.in,204.15.132.106
mcu.iitgn.ac.in,14.139.98.239
cpcalendars.vmishra.people.iitgn.ac.in,204.15.132.106
hpclab.iitgn.ac.in,72.1.241.142
civil.iitgn.ac.in,72.1.241.142
webdisk.admin.people.iitgn.ac.in,204.15.132.106
webdisk.krjp.people.iitgn.ac.in,204.15.132.106
webdisk.hegder.people.iitgn.ac.in,204.15.132.106
cpcalendars.mana.people.iitgn.ac.in,204.15.132.106
cpcalendars.amit.people.iitgn.ac.in,204.15.132.106
cpcalendars.nihar.people.iitgn.ac.in,204.15.132.106
webdisk.amit.people.iitgn.ac.in,204.15.132.106
cpcalendars.neeldhara.people.iitgn.ac.in,204.15.132.106
www.iitgn.ac.in,72.1.241.188
www.kprasad.people.iitgn.ac.in,204.15.132.106
blithchron.iitgn.ac.in,72.1.241.142
atulsingh.people.iitgn.ac.in,204.15.132.106
cpcalendars.admin.people.iitgn.ac.in,204.15.132.106
vineet.people.iitgn.ac.in,204.15.132.106
ulproject.iitgn.ac.in,72.1.241.142
cpcontacts.dgarg.people.iitgn.ac.in,204.15.132.106
www.gauravs.people.iitgn.ac.in,204.15.132.106
cpanel.nitin.people.iitgn.ac.in,204.15.132.106
cpanel.joycee.people.iitgn.ac.in,204.15.132.106
cpanel.radhakrishna.people.iitgn.ac.in,204.15.132.106
cpanel.sjolad.people.iitgn.ac.in,204.15.132.106
cpanel.atulsingh.people.iitgn.ac.in,204.15.132.106
cpanel.admin.people.iitgn.ac.in,204.15.132.106
www.sudhir.people.iitgn.ac.in,204.15.132.106
mail.homecelllab.people.iitgn.ac.in,204.15.132.106
physics.iitgn.ac.in,72.1.241.142
mail.kprasad.people.iitgn.ac.in,204.15.132.106
www.mkumar.people.iitgn.ac.in,204.15.132.106
