Subdomain,IP,SOA-Primary-NS
cpanel.babji.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.alumni.iitgn.ac.in,52.74.41.140,ns1.almashines.com.
cpanel.chetan.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
pareshdate.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.surjeet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
lists.safety.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
admissions.iitgn.ac.in,14.139.98.73,dnsm.iitgn.ac.in.
academics.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
testserver.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
socket.iitgn.ac.in,14.139.98.239,dnsm.iitgn.ac.in.
cpanel.hegder.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.manua.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.support.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.naran.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
streaming.iitgn.ac.in,14.139.98.238,dnsm.iitgn.ac.in.
csd.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
vijay.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.rupak.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
proofapp3.iitgn.ac.in,14.139.98.100,dnsm.iitgn.ac.in.
demo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
kabeer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mtech2011.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
btech2008.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
ee.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
instavc.iitgn.ac.in,14.139.98.240,dnsm.iitgn.ac.in.
cpcalendars.sjolad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.cst.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.gmanoj.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.sairam.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.joycee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.shanmuga.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.demo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.sudhir.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.nitin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.vijay.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.babji.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.pedropombo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.appayee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.cst.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
payment.iitgn.ac.in,14.139.98.73,dnsm.iitgn.ac.in.
chemistry.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
chandanmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
pedropombo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mcu.iitgn.ac.in,14.139.98.239,dnsm.iitgn.ac.in.
www.ftpsrv.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.vmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
hpclab.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
civil.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
webdisk.ftpsrv17.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.kabeer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.babji.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.admin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.krjp.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.hegder.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.mana.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.amit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.nihar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.barath.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.amit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.nihar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.appayee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.neeldhara.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.iitgn.ac.in,72.1.241.188,dnsm.iitgn.ac.in.
www.kprasad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
blithchron.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
atulsingh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
