Subdomain,IP
vbs.iiti.ac.in,103.159.214.43
publications.iiti.ac.in,103.159.214.60
erpone.iiti.ac.in,103.159.214.16
kaveri.iiti.ac.in,103.159.214.14
cat.iiti.ac.in,103.159.214.43
people.iiti.ac.in,103.159.214.112
koha.iiti.ac.in,103.159.214.9
dms.iiti.ac.in,103.159.214.31
www.iiti.ac.in,103.159.214.18
msjp.iiti.ac.in,103.159.214.32
library.iiti.ac.in,103.159.214.135
drishticps.iiti.ac.in,192.0.78.184
erp.iiti.ac.in,103.159.214.32
events.iiti.ac.in,103.159.214.36
wp.iiti.ac.in,103.159.214.215
godavari.iiti.ac.in,103.159.214.114
gps.iiti.ac.in,103.159.214.44
ithelpdesk.iiti.ac.in,103.159.214.33
iitikship.iiti.ac.in,34.91.116.126
recruitments.iiti.ac.in,103.159.214.37
mycloud.iiti.ac.in,103.159.214.29
gatb.iiti.ac.in,103.159.214.32
gateway1.iiti.ac.in,103.159.214.223
tpcserver.placement.iiti.ac.in,103.159.214.26
academic.iiti.ac.in,103.159.214.110
gian.iiti.ac.in,103.159.214.60
narmada.iiti.ac.in,103.159.214.35
abhirupdatta.iiti.ac.in,103.159.214.43
