Subdomain,IP,SOA-Primary-NS
vbs.iiti.ac.in,103.159.214.43,ns1.iiti.ac.in.
publications.iiti.ac.in,103.159.214.60,ns1.iiti.ac.in.
erpone.iiti.ac.in,103.159.214.16,ns1.iiti.ac.in.
kaveri.iiti.ac.in,103.159.214.14,ns1.iiti.ac.in.
cat.iiti.ac.in,103.159.214.43,ns1.iiti.ac.in.
people.iiti.ac.in,103.159.214.112,ns1.iiti.ac.in.
koha.iiti.ac.in,103.159.214.9,ns1.iiti.ac.in.
dms.iiti.ac.in,103.159.214.31,ns1.iiti.ac.in.
www.iiti.ac.in,103.159.214.18,ns1.iiti.ac.in.
msjp.iiti.ac.in,103.159.214.32,ns1.iiti.ac.in.
library.iiti.ac.in,103.159.214.135,ns1.iiti.ac.in.
drishticps.iiti.ac.in,192.0.78.184,ns1.iiti.ac.in.
erp.iiti.ac.in,103.159.214.32,ns1.iiti.ac.in.
events.iiti.ac.in,103.159.214.36,ns1.iiti.ac.in.
wp.iiti.ac.in,103.159.214.215,ns1.iiti.ac.in.
godavari.iiti.ac.in,103.159.214.114,ns1.iiti.ac.in.
gps.iiti.ac.in,103.159.214.44,ns1.iiti.ac.in.
ithelpdesk.iiti.ac.in,103.159.214.33,ns1.iiti.ac.in.
iitikship.iiti.ac.in,34.91.116.126,ns1.iiti.ac.in.
recruitments.iiti.ac.in,103.159.214.37,ns1.iiti.ac.in.
mycloud.iiti.ac.in,103.159.214.29,ns1.iiti.ac.in.
gatb.iiti.ac.in,103.159.214.32,ns1.iiti.ac.in.
gateway1.iiti.ac.in,103.159.214.223,ns1.iiti.ac.in.
tpcserver.placement.iiti.ac.in,103.159.214.26,placement.iiti.ac.in.
academic.iiti.ac.in,103.159.214.110,ns1.iiti.ac.in.
gian.iiti.ac.in,103.159.214.60,ns1.iiti.ac.in.
narmada.iiti.ac.in,103.159.214.35,ns1.iiti.ac.in.
abhirupdatta.iiti.ac.in,103.159.214.43,ns1.iiti.ac.in.
